	Location	ID	Date	StartLat	StartLong	FocalLat	FocalLong	Dir
1	Campus	C01	9/23/20	40.81695	-96.70132	40.81705	-96.70202	West
2	Campus	C02	9/25/20	40.81838	-96.70583	40.81823	-96.70475	East
3	Campus	C10	9/29/20	40.81955	-96.70275	40.81953	-96.70238	East
4	Campus	C15	10/1/20	40.82105	-96.70152	40.82115	-96.70145	North
5	Campus	C21	10/2/20	40.82267	-96.70115	40.8228	-96.69922	West
6	Campus	C23	10/11/20	40.82097	-96.69825	40.82165	-96.69818	North
7	Campus	C26	10/11/20	40.81813	-96.69837	40.81855	-96.69805	North
8	Campus	C29	10/13/20	40.81707	-96.69667	40.81797	-96.69667	North
9	Campus	C31	9/29/20	40.81818	-96.70303	40.81727	-96.70323	South
10	Campus	C33	10/13/20	40.8161	-96.70552	40.81632	-96.7056	North
11	Campus	C38	10/5/20	40.82075	-96.69933	40.82073	-96.69918	East
12	Campus	C40	10/13/20	40.82368	-96.69825	40.8221	-96.69812	South
13	Forest	F01	10/4/20	40.7629	-96.71607	40.76278	-96.71638	West
14	Forest	F02	9/28/20	40.7786	-96.72155	40.78093	-96.72135	North
15	Forest	F04	9/28/20	40.77727	-96.71858	40.77727	-96.7185	South
16	Forest	F06	10/4/20	40.76813	-96.71848	40.76658	-96.71787	South
17	Forest	F07	10/4/20	40.7643	-96.71655	40.76497	-96.71648	North
18	Forest	F14	10/8/20	40.75848	-96.71418	40.7561	-96.71448	South
19	Forest	F16	10/8/20	40.75515	-96.71455	40.75382	-96.71458	South
20	Forest	F18	10/7/20	40.75048	-96.7181	40.7505	-96.71812	Northwest
21	Forest	F19	10/9/20	40.74505	-96.71335	40.7447	-96.71355	Southwest
22	Forest	F20	10/14/20	40.7169	-96.70128	40.71622	-96.70098	South
