Date	Time	ID	Location	Direction	WalkDist	NumSpiders	NumWebs	NumFem	NumMales	SubUsed	TotalSub	PercentUsed	road_dist_m	road	highway_dist_m	highway	road_dist_data	road_data	road_traffic	road_year	highway_traffic	highway_year	dist_traffic_road	dist_traffic_highway	Land	Tree	Imperv	tree100m	imperv100m	spec_rad	light_rad	patch_area_mm	patch_area_km	road_length_m	trail_length_m
9/23/20	16:30:00	C01	Campus	West	60	5	7	5	0	1	1	0.99999999	12.60133773	R	383.2960586	HWY34	134.1666023	Q	10910	2019	20490	2021	81.31680918	53.45737202	UrbanizedMediumIntensity	0	65	6.452493	68.180447	154.623344	148.890423	1412.3535	0.001412354	116.4052	0
9/25/20	17:30:00	C02	Campus	East	93	4	6	3	1	1	2	0.5	62.68777571	12TH	247.9108861	I180	214.9055977	10TH	26840	2019	26840	2019	124.892047	108.2647092	UrbanizedMediumIntensity	0	61	2.021121	62.861889	149.267321	152.6369	1349.4301	0.00134943	47.0056	0
9/29/20	17:30:00	C10	Campus	East	31	13	24	12	1	2	3	0.666666667	39.43255242	T	494.2553897	I180	174.5621299	14TH	3540	2018	26840	2019	20.2793126	54.30390959	UrbanizedLowIntensity	33	35	4.367884	60.289828	162.863639	139	240.409	0.000240409	77.3503	0
10/1/20	17:45:00	C15	Campus	North	13	1	1	1	0	1	6	0.166666667	16.61225521	14TH	654.4190565	I180	16.61225521	14TH	3540	2018	26840	2019	213.0956909	41.01347559	UrbanizedMediumIntensity	0	75	0	82.956538	144.369018	105.836201	477.3321	0.000477332	135.9564	0
10/2/20	16:20:00	C21	Campus	West	17	16	31	16	0	2	2	0.99999999	8.958032502	W	898.5274438	I180	89.89293559	16TH	3170	2018	26840	2019	35.26417264	29.87109652	UrbanizedHighIntensity	0	91	0	82.731251	154.08022	76.976724	489.3987	0.000489399	82.5499	0
10/11/20	16:40:00	C23	Campus	North	76	22	73	22	0	2	3	0.666666667	2.34218719	16TH	895.626412	HWY34	2.34218719	16TH	3170	2018	24930	2018	1353.435803	27.83526665	UrbanizedMediumIntensity	0	71	0	85.891998	151.455788	75.494799	348.0367	0.000348037	83.3413	0
10/11/20	15:25:00	C26	Campus	North	55	6	13	6	0	1	2	0.5	9.802265435	16TH	551.9854708	HWY34	9.802265435	16TH	5580	2018	24930	2018	569.2561619	45.16423225	UrbanizedHighIntensity	0	80	0.066059	80.079451	154.620942	108	405.5451	0.000405545	84.0847	0
10/13/20	16:35:00	C29	Campus	North	100	1	4	1	0	2	4	0.5	4.61525406	17TH	487.6924763	HWY34	4.61525406	17TH	3810	2018	24930	2018	825.5233515	51.11827886	UrbanizedMediumIntensity	0	72	0	80.040861	155.899219	105.568974	273.2707	0.000273271	90.7336	0
9/29/20	16:30:00	C31	Campus	South	160	2	13	2	0	1	3	0.333333333	36.18896379	R	329.9103293	I180	157.7428421	Q	9450	2019	26840	2019	59.90763115	81.35544	UrbanizedLowIntensity	38	37	5.297249	66.322875	151.441058	144.420249	1843.2139	0.001843214	115.702	0
10/13/20	16:00:00	C33	Campus	North	26	1	3	1	0	1	4	0.25	51.27631486	Q	119.2743277	I180	51.27631486	Q	8400	2019	26840	2019	163.8183247	225.0274683	UrbanizedHighIntensity	0	84	0.212884	85.87305	154.464244	174.574531	104.3265	0.000104327	84.7087	0
