	Location	Species	Substrate	Type	Number
1	Campus	Concrete	Artificial	Cement	1
2	Campus	Building	Artificial	Cement	1
3	Campus	Bollard	Artificial	Metal	1
4	Campus	Electrical_Transformer	Artificial	Metal	3
5	Campus	Gutter	Artificial	Metal	3
6	Campus	Trash_Can	Artificial	Metal	2
7	Campus	PVC_Pipe	Artificial	Plastic	1
8	Campus	Landscaping_Rocks	Artificial	Rocks	5
9	Campus	Dactylis_glomerata	Plant	Herb	4
10	Campus	Glycyrrhiza_lepidota	Plant	Herb	1
11	Campus	Vinca_minor	Plant	Herb	7
12	Campus	Pine_needles	Plant	Litter	6
13	Campus	Woodchips	Plant	Litter	1
14	Campus	Twigs	Plant	Litter	5
15	Campus	Leaf_litter	Plant	Litter	4
16	Campus	Euonymus_fortunei	Plant	Shrub	3
17	Campus	Juniperus_horizontalis	Plant	Shrub	13
18	Campus	Berberis_aquifolium	Plant	Shrub	10
19	Campus	Berberis_repens	Plant	Shrub	2
20	Campus	Elaeagnus_umbellata	Plant	Shrub	4
21	Campus	Chaenomeles_japonica	Plant	Shrub	5
22	Campus	Aronia_melanocarpa	Plant	Shrub	3
23	Campus	Viburnum_lantana 	Plant	Shrub	7
24	Campus	Picea_abies	Plant	Tree	1
25	Campus	Hesperocyparis_macrocarpa	Plant	Tree	9
26	Campus	Juniperus_scopulorum	Plant	Tree	3
27	Campus	Callicarpa_dichotoma	Plant	Tree	1
28	Campus	Lonicera_japonica	Plant	Vine	15
29	Forest	Verbesina_alternifolia	Plant	Herb	4
30	Forest	Carex_squarrosa	Plant	Herb	5
31	Forest	Laportea_canadensis	Plant	Herb	10
32	Forest	Sicyos_angulatus	Plant	Herb	1
33	Forest	Bromus_inermis	Plant	Herb	1
34	Forest	Ageratina_altissima	Plant	Herb	2
35	Forest	Chasmanthium_latifolium	Plant	Herb	1
36	Forest	Carex_intumescens	Plant	Herb	1
37	Forest	Lonicera_maackii	Plant	Shrub	1
38	Forest	Ribes_cynosbati 	Plant	Shrub	2
39	Forest	Symphoricarpos_orbiculatus	Plant	Shrub	3
40	Forest	Smilax_tamnoides	Plant	Shrub	1
41	Forest	Celtis_occidentalis	Plant	Tree	2
42	Forest	Ulmus_americana	Plant	Tree	2
43	Forest	Quercus_macrocarpa	Plant	Tree	1
44	Forest	Vitis_riparia	Plant	Vine	1
