ID	Location	Direction	WalkDist	Web	SpiderPres	SpiderPresNum	Occ_Neigh	Sex	SubHeight	RetreatHeight	Proportion	RetreatDist	EdgeDist	FocalDir
C01	Campus	West	60	W003	N	0	0	NA	20.1	5.9	0.29	177.2	153.1	N
C01	Campus	West	60	W007	N	0	0	NA	20.1	10.4	0.52	328.8	304.8	W
C01	Campus	West	60	W001	Y	1	0	F	20.1	9.9	0.49	0	0	NA
C01	Campus	West	60	W002	Y	1	1	F	20.1	6.5	0.32	88.2	65.5	N
C01	Campus	West	60	W004	Y	1	2	F	20.1	4.9	0.24	186	172.8	N
C01	Campus	West	60	W005	Y	1	0	F	20.1	3.5	0.17	210.4	196.2	N
C01	Campus	West	60	W006	Y	1	0	F	20.1	7.6	0.38	263.4	241.4	N
C02	Campus	East	93	W004	N	0	0	NA	20	4	0.2	607	580	S
C02	Campus	East	93	W005	N	0	0	NA	34.4	2	0.06	633	611	S
C02	Campus	East	93	W001	Y	1	0	M	80	2.4	0.03	0	0	NA
C02	Campus	East	93	W003	Y	1	1	F	38.4	6	0.16	581	541	S
C02	Campus	East	93	W002	Y	1	2	F	57.7	10	0.17	599	569	S
C02	Campus	East	93	W006	Y	1	0	F	47	12.5	0.27	687	666	S
C10	Campus	East	31	W003	N	0	0	NA	17.8	5.7	0.32	44.9	32	N
C10	Campus	East	31	W004	N	0	0	NA	46.2	32.6	0.71	79	45.7	N
C10	Campus	East	31	W005	N	0	0	NA	46.2	23.3	0.5	97.9	69.1	N
C10	Campus	East	31	W011	N	0	0	NA	60.1	9	0.15	195	183.4	W
C10	Campus	East	31	W021	N	0	0	NA	78	6.2	0.08	231	214	S
C10	Campus	East	31	W023	N	0	0	NA	65.3	45.7	0.7	324	302	E
C10	Campus	East	31	W001	Y	1	0	F	44.3	28.5	0.64	0	0	NA
C10	Campus	East	31	W002	Y	1	1	F	44.3	11.7	0.26	24.3	17.6	NE
C10	Campus	East	31	W006	Y	1	2	M	45.6	33.4	0.73	141.3	120	SE
C10	Campus	East	31	W007	Y	1	0	F	23.5	7.8	0.33	264	260.2	E
C10	Campus	East	31	W013	Y	1	0	F	53.4	10.2	0.19	300	279	E
C10	Campus	East	31	W024	Y	1	0	F	50.1	6.1	0.12	399	382	E
C15	Campus	North	13	W001	Y	1	0	F	35.7	23.6	0.66	0	0	NA
C21	Campus	West	17	W003	N	0	0	NA	138.7	26.5	0.19	47.3	36.6	E
C21	Campus	West	17	W004	N	0	0	NA	138.7	52	0.37	82	64	NE
C21	Campus	West	17	W001	Y	1	0	F	86.8	8.9	0.1	0	0	NA
C21	Campus	West	17	W005	Y	1	1	F	86.8	14.6	0.17	72.9	53.7	E
C21	Campus	West	17	W006	Y	1	2	F	138.7	10.1	0.07	85.7	59.7	N
C21	Campus	West	17	W002	Y	1	0	F	86.8	44	0.51	94.3	75.4	E
C21	Campus	West	17	W007	Y	1	0	F	149.6	3.6	0.02	135	102	NW
C21	Campus	West	17	W008	Y	1	0	F	89	4.5	0.05	158	125	NW
C23	Campus	North	76	W002	N	0	0	NA	52.1	16.4	0.31	73.3	56	NW
